date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:47	211035/211035	---M--	200	added ('OK')	image/jpeg	etag:%223385b-67ef7066-a4c61d2c2dc5dda2;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/room_3.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/room_3.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:48	206723/206723	---M--	200	added ('OK')	image/jpeg	etag:%2232783-67ef7066-9ebfada796384e12;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/room_4.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/room_4.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:49	274040/274040	---M--	200	added ('OK')	image/jpeg	etag:%2242e78-67ef7066-db926487b2d27919;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/about3.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/about3.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:50	1259711/1259711	---M--	200	added ('OK')	image/png	etag:%221338bf-67ef7066-b6d024a4cd05cf17;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/paralax_bg.png	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/paralax_bg.png	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:50	78878/78878	---M--	200	added ('OK')	image/jpeg	etag:%221341e-67ef7066-fdacf6e36200507d;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_6.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_6.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:50	96347/96347	---M--	200	added ('OK')	image/jpeg	etag:%221785b-67ef7066-440ab6f9c0bc7928;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_5.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_5.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:50	105079/105079	---M--	200	added ('OK')	image/jpeg	etag:%2219a77-67ef7066-e7271bdc9e09bf5d;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_8.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_8.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:50	148884/148884	---M--	200	added ('OK')	image/jpeg	etag:%2224594-67ef7066-7c89202757a1a299;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_7.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_7.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:51	93958/93958	---M--	200	added ('OK')	image/jpeg	etag:%2216f06-67ef7066-2050e020b3814828;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_9.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_9.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
13:22:51	118340/118340	---M--	200	added ('OK')	image/jpeg	etag:%221ce44-67ef7066-2d410012fccfda3;;;%22	https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_10.jpg	F:/CODE/DATN/HotleFE/Hotel/elegencia.pixcelsthemes.com/livepreview/elegencia-main/assets/img/gallery_show_10.jpg	(from https://elegencia.pixcelsthemes.com/livepreview/elegencia-main/hotel-resort/resort.html)
